epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,266.571,1.79838,3.97438,1.96026,0.31368,0.06895,0.07621,0.03609,1.98096,3.27474,2.16936,0.0670154,0.000333178,0.000333178
2,528.633,1.71232,3.12252,1.91015,0.387,0.10141,0.11168,0.05262,1.8602,2.82122,2.12826,0.0340128,0.00066391,0.00066391
3,789.759,1.65371,2.86156,1.84713,0.51923,0.11734,0.12455,0.06001,1.8579,2.78196,2.04794,0.000999843,0.000984296,0.000984296
4,1050.78,1.60672,2.62147,1.7944,0.2945,0.17292,0.13663,0.06577,1.77488,2.55463,1.98595,0.000965239,0.000965239,0.000965239
5,1312.06,1.56712,2.45059,1.75059,0.28427,0.1784,0.14971,0.07496,1.74188,2.47436,1.9407,0.000938772,0.000938772,0.000938772
6,1572.76,1.54403,2.28136,1.72007,0.33087,0.17832,0.15737,0.0783,1.71584,2.37079,1.92333,0.000905463,0.000905463,0.000905463
7,1834.3,1.50553,2.23817,1.68301,0.39674,0.19738,0.17988,0.08659,1.67734,2.27675,1.88013,0.000865839,0.000865839,0.000865839
8,2095.61,1.48591,2.10881,1.6587,0.42414,0.18562,0.2051,0.10268,1.64074,2.21061,1.84745,0.000820525,0.000820525,0.000820525
9,2356.86,1.46326,1.97028,1.63404,0.33644,0.22582,0.20449,0.10156,1.63598,2.13947,1.84584,0.000770234,0.000770234,0.000770234
10,2617.9,1.43769,1.90466,1.60539,0.32776,0.24332,0.21151,0.10448,1.61234,2.08949,1.8093,0.000715761,0.000715761,0.000715761
11,2879.02,1.41628,1.84255,1.58166,0.33478,0.27419,0.23554,0.11617,1.59383,2.02103,1.79384,0.000657963,0.000657963,0.000657963
12,3140.48,1.39667,1.80733,1.56218,0.33666,0.30207,0.25002,0.12288,1.55904,2.02009,1.76205,0.000597754,0.000597754,0.000597754
13,3401.85,1.37113,1.72562,1.54053,0.33773,0.31037,0.26592,0.13176,1.55273,1.96351,1.73865,0.000536081,0.000536081,0.000536081
14,3663.21,1.3536,1.64292,1.52416,0.37143,0.3305,0.28947,0.14581,1.52375,1.89737,1.71636,0.000473919,0.000473919,0.000473919
15,3925.15,1.32859,1.57262,1.50114,0.37291,0.34064,0.29719,0.1492,1.49796,1.82388,1.695,0.000412246,0.000412246,0.000412246
16,4186.36,1.30811,1.52532,1.48042,0.3875,0.34653,0.30351,0.15571,1.49199,1.78625,1.6779,0.000352037,0.000352037,0.000352037
17,4447.15,1.28584,1.48677,1.46214,0.41638,0.34703,0.32424,0.16913,1.46773,1.73241,1.65803,0.000294239,0.000294239,0.000294239
18,4707.89,1.2644,1.44242,1.44475,0.41683,0.35741,0.34003,0.17827,1.44398,1.68746,1.64026,0.000239766,0.000239766,0.000239766
19,4969.02,1.24348,1.39797,1.42406,0.43637,0.36174,0.35245,0.18661,1.42597,1.6512,1.62606,0.000189475,0.000189475,0.000189475
20,5230.12,1.22371,1.35088,1.41239,0.43071,0.37596,0.35929,0.19258,1.41634,1.63232,1.6216,0.000144161,0.000144161,0.000144161
21,5490.83,1.20447,1.3171,1.39442,0.45509,0.37341,0.36784,0.19784,1.40596,1.63271,1.61048,0.000104537,0.000104537,0.000104537
22,5752.21,1.19212,1.29431,1.38512,0.44975,0.37496,0.37067,0.20092,1.39157,1.61596,1.60041,7.12282e-05,7.12282e-05,7.12282e-05
23,6013.53,1.18109,1.26706,1.37623,0.44618,0.38532,0.37395,0.20533,1.38419,1.60776,1.59827,4.47606e-05,4.47606e-05,4.47606e-05
24,6274.57,1.17235,1.25653,1.37094,0.45951,0.38841,0.37869,0.20873,1.37664,1.59344,1.5915,2.55513e-05,2.55513e-05,2.55513e-05
25,6536.75,1.16529,1.24256,1.3638,0.45991,0.38913,0.37906,0.2098,1.37226,1.58668,1.58825,1.39032e-05,1.39032e-05,1.39032e-05
